,Provider,Name,Longitude,Latitude,Elevation,year,month,HNsum,HSmean_gapfill,HSmax_gapfill
155772,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,1,,58.1935483870968,79.0
155773,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,2,,135.5,208.0
155774,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,3,,84.1290322580645,129.0
155775,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,4,,14.6666666666667,55.0
155776,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,5,,,
155777,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,6,,0.0,0.0
155778,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,7,,0.0,0.0
155779,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,8,,0.0,0.0
155780,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,9,,0.0,0.0
155781,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,10,,0.0,0.0
155782,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,11,,,
155783,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1965,12,,45.3214285714286,63.0
155784,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,1,,71.6129032258065,83.0
155785,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,2,,42.5,72.0
155786,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,3,,34.0322580645161,68.0
155787,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,4,,6.76666666666667,35.0
155788,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,5,,,
155789,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,6,,0.0,0.0
155790,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,7,,0.0,0.0
155791,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,8,,0.0,0.0
155792,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,9,,0.0,0.0
155793,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,10,,0.566666666666667,9.0
155794,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,11,,13.4333333333333,40.0
155795,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1966,12,,56.3225806451613,82.0
155796,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,1,,94.1612903225806,115.0
155797,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,2,,99.0357142857143,123.0
155798,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,3,,56.5483870967742,98.0
155799,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,4,,28.7,59.0
155800,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,5,,,
155801,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,6,,0.0,0.0
155802,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,7,,0.0,0.0
155803,AT_HZB,Kleinarl,13.3163888888889,47.2825,990.0,1967,8,,0.0,0.0
